Facility_ID,Facility_Name,Address,City,State,County_Name,ZIP_Code,Phone_Number,Pct_Catheter_Associated_Urinary_Tract_Infections,Pct_Central_Line_Associated_Bloodstream_Infections,Pct_Clostridium_Difficile_CDiff_Infections,Pct_MRSA_Bacteremia_Infections,Pct_Abdominal_Hysterectomy_Infections,Pct_SSI_Colon_Surgery_Infections,Pct_Hospital_Acquired_Infections,Catheter_Associated_Urinary_Tract_Infections_Numerator,Catheter_Associated_Urinary_Tract_Infections_Denominator,Central_Line_Associated_Bloodstream_Infection_Numerator,Central_Line_Associated_Bloodstream_Infection_Denominator,Clostridium_Difficile_CDiff_Numerator,Clostridium_Difficile_CDiff_Denominator,MRSA_Bacteremia_Numerator,MRSA_Bacteremia_Denominator,SSI_Abdominal_Hysterectomy_Numerator,SSI_Abdominal_Hysterectomy_Denominator,SSI_Colon_Surgery_Numerator,SSI_Colon_Surgery_Denominator,Total_Numerator,Total_Denominator
70035,THE HOSPITAL OF CENTRAL CONNECTICUT,100 GRAND STREET,NEW BRITAIN,CT,Hartford,6050,(860) 224-5011,0.04%,0.16%,0.01%,0.01%,0.91%,1.09%,0.03%,3,8525,14,8570,7,56711,8,62923,2,220,2,183,36,137132
70034,NORWALK HOSPITAL,24 STEVENS STREET,NORWALK,CT,Fairfield,6856,(203) 852-2000,0.12%,0.04%,0.02%,0.01%,3.57%,3.62%,0.03%,4,3258,2,4595,7,39397,4,43582,3,84,5,138,25,91054
70033,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,CT,Fairfield,6810,(203) 739-7000,0.12%,0.07%,0.01%,0.01%,1.09%,3.14%,0.02%,9,7779,4,6116,12,85638,6,92401,2,183,7,223,40,192340
70031,GRIFFIN HOSPITAL,130 DIVISION ST,DERBY,CT,New Haven,6418,(203) 732-7500,0.03%,0.06%,0.02%,0.03%,0.00%,1.71%,0.03%,1,2931,1,1739,4,25970,7,27146,0,35,2,117,15,57938
70029,BRISTOL HOSPITAL,41 BREWSTER RD,BRISTOL,CT,Hartford,6010,(860) 585-3000,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.02%,0,3973,0,3382,10,18753,0,20100,0,87,0,55,10,46350
70028,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,CT,Fairfield,6606,(203) 576-5551,0.12%,0.09%,0.02%,0.01%,0.73%,6.17%,0.03%,4,3344,6,6433,10,44753,3,47424,1,137,5,81,29,102172
70027,MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,CT,Hartford,6040,(860) 647-4780,0.10%,0.00%,0.04%,0.00%,0.00%,0.00%,0.02%,4,3880,0,2867,10,24813,0,28458,0,129,0,44,14,60191
70025,HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,CT,Hartford,6102,(860) 545-5000,0.12%,0.14%,0.03%,0.01%,0.43%,1.34%,0.03%,28,23740,35,24459,63,211171,12,219581,2,468,7,521,147,479940
70024,WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,NORWICH,CT,New London,6360,(860) 889-8331,0.05%,0.12%,0.01%,0.00%,1.42%,1.09%,0.02%,3,6605,9,7399,5,46740,2,48553,2,141,2,183,23,109621
70022,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,New Haven,6504,(203) 688-4242,0.07%,0.10%,0.04%,0.01%,0.99%,2.17%,0.03%,28,40203,61,62289,164,374998,22,409095,7,707,13,598,295,887890
70021,WINDHAM COMMUNITY MEMORIAL HOSPITAL,112 MANSFIELD AVENUE,WILLIMANTIC,CT,Windham,6226,(860) 456-9116,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,0,1142,0,629,2,11179,0,12194,0,16,0,13,2,25173
70020,MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,CT,Middlesex,6457,(860) 344-6000,0.07%,0.13%,0.01%,0.00%,1.85%,2.76%,0.02%,3,4367,5,3945,5,51086,1,53424,1,54,4,145,19,113021
70018,GREENWICH HOSPITAL ASSOCIATION -,5 PERRYRIDGE RD,GREENWICH,CT,Fairfield,6830,(203) 863-3000,0.09%,0.05%,0.05%,0.00%,0.00%,1.45%,0.03%,3,3524,2,4093,23,43525,0,51831,0,135,2,138,30,103246
70017,MIDSTATE MEDICAL CENTER,435 LEWIS AVENUE,MERIDEN,CT,New Haven,6450,(203) 694-8200,0.09%,0.06%,0.02%,0.01%,3.57%,4.20%,0.03%,4,4436,2,3281,7,36854,3,38531,2,56,5,119,23,83277
70016,SAINT MARY'S HOSPITAL,56 FRANKLIN STEET,WATERBURY,CT,New Haven,6706,(203) 709-6020,0.07%,0.03%,0.04%,0.01%,1.75%,2.91%,0.03%,3,4218,1,3726,14,33450,3,35037,1,57,3,103,25,76591
70012,ROCKVILLE GENERAL HOSPITAL,31 UNION ST,ROCKVILLE,CT,Tolland,6066,(860) 872-5160,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.03%,0,689,0,454,4,6271,0,6271,0,0,0,5,4,13690
70011,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,CT,Litchfield,6790,(860) 496-6666,0.03%,0.18%,0.00%,0.01%,0.00%,0.00%,0.02%,1,3695,6,3301,1,20889,2,21753,0,16,0,47,10,49701
70010,BRIDGEPORT HOSPITAL,267 GRANT STREET,BRIDGEPORT,CT,Fairfield,6610,(203) 384-3000,0.09%,0.12%,0.05%,0.01%,1.14%,5.03%,0.04%,9,9597,16,13288,49,101705,11,106381,3,263,8,159,96,231393
70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,Tolland,6076,(860) 684-4251,0.16%,0.00%,0.04%,0.00%,0.00%,0.00%,0.02%,1,642,0,561,2,5666,0,5919,0,11,0,6,3,12805
70007,LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NEW LONDON,CT,New London,6320,(860) 442-0711,0.07%,0.06%,0.04%,0.00%,0.00%,3.80%,0.03%,5,6890,5,7925,23,60859,1,65112,0,36,3,79,37,140901
70006,STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,STAMFORD,CT,Fairfield,6904,(203) 276-1000,0.09%,0.02%,0.03%,0.00%,0.88%,1.54%,0.02%,3,3433,1,6123,19,60704,1,68903,2,226,2,130,28,139519
70005,WATERBURY HOSPITAL,64 ROBBINS ST,WATERBURY,CT,New Haven,6721,(203) 573-6000,0.15%,0.08%,0.03%,0.00%,0.00%,0.81%,0.03%,7,4772,4,5266,12,43191,2,47151,0,22,1,124,26,100526
70004,SHARON HOSPITAL,50 HOSPITAL HILL ROAD,SHARON,CT,Litchfield,6069,(860) 364-4228,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,538,0,437,0,5490,0,5874,0,3,0,6,0,12348
70003,DAY KIMBALL HOSPITAL,320 POMFRET STREET,PUTNAM,CT,Windham,6260,(860) 928-6541,0.07%,0.13%,0.00%,0.01%,0.00%,0.00%,0.01%,1,1342,1,775,0,14918,1,15883,0,15,0,47,3,32980
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,114 WOODLAND STREET,HARTFORD,CT,Hartford,6105,(860) 714-4000,0.05%,0.09%,0.04%,0.00%,0.00%,4.24%,0.03%,7,12921,10,11617,38,104737,3,114455,0,174,10,236,68,244140
670285,KINGWOOD EMERGENCY HOSPITAL,23330 HIGHWAY 59 N,KINGWOOD,TX,Harris,77339,(832) 777-6165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670280,NORTH HOUSTON SURGICAL HOSPITAL LLC,20635 KUYKENDAHL RD,SPRING,TX,Harris,77379,(832) 614-2958,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670267,THE WOODLANDS SPECIALTY HOSPITAL,25440 INTERSTATE 45 NORTH,SPRING,TX,Montgomery,77386,(281) 602-8160,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670266,TOWNSEN MEMORIAL HOSPITAL,1475 FM 1960 BYPASS E,HUMBLE,TX,Harris,77338,(281) 369-9001,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670260,TEXAS HEALTH HOSPITAL FRISCO,12400 N DALLAS PARKWAY,FRISCO,TX,Denton,75033,(469) 495-2000,0.65%,0.00%,0.00%,0.00%,0.00%,4.76%,0.02%,1,154,0,197,0,5525,0,6516,0,46,1,21,2,12459
670259,CAPROCK HOSPITAL,3134 BRIARCRESRT DR,BRYAN,TX,Brazos,77802,(979) 314-2323,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670143,ASCENSION SETON BASTROP,"630 HIGWAY 71 W,",BASTROP,TX,Bastrop,78602,(737) 881-7400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,10,0,3,0,324,0,324,0,0,0,0,0,661
670136,BAYLOR SCOTT & WHITE MEDICAL CENTER- AUSTIN,5245 W US 290,AUSTIN,TX,Travis,78735,(512) 654-2100,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,830,0,830,0,0,0,0,0,1660
670135,"ALTUS HOUSTON HOSPITAL, LP",6011 W SAM HOUSTON PKWY SOOUTH,HOUSTON,TX,Harris,77072,(713) 773-0556,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670134,ALTUS LUMBERTON HOSPITAL,220 BLANCO ST,LUMBERTON,TX,Hardin,77657,(409) 227-0520,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,31,0,160,0,0,0,0,0,191
670133,TRUSTED MEDICAL CENTERS MANSFIELD,1710 N HWY 287 FRONTAGE ROAD,MANSFIELD,TX,Tarrant,76063,(817) 225-4809,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670132,METHODIST SOUTHLAKE HOSPITAL,421 E STATE HIGHWAY 114,SOUTHLAKE,TX,Tarrant,76092,(878) 654-4400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670131,BAYLOR SCOTT & WHITE MEDICAL CENTER - BUDA,5330 OVERPASS ROAD SUITE 110,BUDA,TX,Hays,78610,(737) 999-6200,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.05%,0,0,0,0,1,915,0,915,0,0,0,0,1,1830
670129,THE HEIGHTS HOSPITAL,"1917 ASHLAND STREET, SUITE 300",HOUSTON,TX,Harris,77008,(713) 574-6814,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670128,BAYLOR SCOTT & WHITE MEDICAL CENTER PFLUGERVILLE,2600 EAST  PFLUGERVILLE  PARKWAY,PFLUGERVILLE,TX,Travis,78660,(512) 654-6100,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,2842,0,2842,0,0,0,0,0,5684
670125,TEXAS CENTER FOR INFECTIOUS DISEASE,2303 SE MILITARY DR P O BOX 23340,SAN ANTONIO,TX,Bexar,78223,(210) 534-8857,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670124,THE HOSPITALS OF PROVIDENCE HORIZON CITY CAMPUS,"13600 HORIZON STREET, SUITE 100",HORIZON CITY,TX,El Paso,79928,(915) 407-7878,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.02%,0,14,0,5,1,2041,0,2041,0,0,0,0,1,4101
670122,HOUSTON METHODIST THE WOODLANDS HOSPITAL,17201 INTERSTATE 45 SOUTH,THE WOODLANDS,TX,Montgomery,77385,(936) 270-2000,0.02%,0.00%,0.00%,0.00%,0.00%,0.49%,0.01%,1,6438,0,4406,2,43319,2,45678,0,207,1,206,6,100254
670121,SAINT CAMILLUS MEDICAL CENTER,1612 HURST TOWN CENTER DRIVE,HURST,TX,Tarrant,76054,(817) 519-3700,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,54,0,12,0,269,0,269,0,6,0,0,0,610
670120,THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,2000 TRANSMOUNTAIN RD,EL PASO,TX,El Paso,79911,(915) 877-8136,0.07%,0.18%,0.02%,0.00%,0.00%,0.00%,0.02%,3,4057,6,3262,5,25823,0,26888,0,23,0,71,14,60124
670116,WISE HEALTH SYSTEM,3200 NORTH TARRANT PARKWAY,FORT WORTH,TX,Wise,76177,(817) 502-7300,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.02%,0,378,0,135,1,2171,0,2171,0,29,0,6,1,4890
670115,CLEVELAND EMERGENCY HOSPITAL,1017 S TRAVIS AVE,CLEVELAND,TX,Liberty,77327,(281) 592-5400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670112,LEGENT ORTHOPEDIC + SPINE,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,TX,Bexar,78249,(717) 620-2424,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,417,0,35,0,3212,0,3212,0,0,0,0,0,6876
670109,ALTUS BAYTOWN HOSPITAL,1626 W BAKER ROAD,BAYTOWN,TX,Harris,77521,(281) 837-7600,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670108,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,Burnet,78654,(830) 201-7308,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.01%,0,1211,0,549,1,9976,1,10523,0,23,0,31,2,22313
670107,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL,12500 SOUTH FREEWAY SUITE 100,BURLESON,TX,Johnson,76028,(214) 294-6250,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,7,0,52,0,1360,0,1360,0,0,0,0,0,2779
670106,HCA HOUSTON HEALTHCARE PEARLAND,11100 SHADOW CREEK PARKWAY,PEARLAND,TX,Brazoria,77584,(713) 770-7000,0.09%,0.37%,0.01%,0.00%,0.00%,0.00%,0.03%,2,2210,10,2672,1,17044,0,17044,0,6,0,6,13,38982
670103,MEDICAL CITY ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,Tarrant,76177,(817) 639-1100,0.08%,0.20%,0.01%,0.00%,3.51%,2.83%,0.03%,1,1221,3,1520,1,14858,0,16215,2,57,3,106,10,33977
670102,"AD HOSPITAL EAST, LLC","12950 EAST FREEWAY, SUITE 100",HOUSTON,TX,Harris,77015,(713) 330-3897,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,12,0,3,0,0,0,0,0,0,0,0,0,15
670098,RESOLUTE HEALTH HOSPITAL,"555 CREEKSIDE XING,",NEW BRAUNFELS,TX,Comal,78130,(469) 839-6778,0.07%,0.04%,0.04%,0.00%,0.00%,0.00%,0.03%,2,2722,1,2521,9,21491,1,23650,0,4,0,77,13,50465
670093,ASPIRE HOSPITAL,"2006 SOUTH LOOP 336 WEST, SUITE 500",CONROE,TX,Montgomery,77304,(936) 647-3500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,6131,0,6131,0,0,0,0,0,12262
670090,CRESCENT MEDICAL CENTER LANCASTER,2600 WEST PLEASANT RUN ROAD,LANCASTER,TX,Dallas,75146,(972) 230-8888,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,657,0,273,0,3876,0,3876,0,0,0,0,0,8682
670088,BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,700 SCOTT & WHITE DRIVE,COLLEGE STATION,TX,Brazos,77845,(979) 691-3701,0.08%,0.16%,0.01%,0.01%,1.52%,3.92%,0.03%,3,3677,5,3056,4,31593,5,36799,3,198,4,102,24,75425
670085,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRAIL,FORT WORTH,TX,Tarrant,76244,(682) 212-2000,0.00%,0.00%,0.00%,0.00%,1.28%,2.50%,0.01%,0,1927,0,2834,0,24810,1,29858,2,156,2,80,5,59665
670082,BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,5252 WEST UNIVERSITY DRIVE,MC KINNEY,TX,Collin,75071,(469) 764-2200,0.06%,0.06%,0.05%,0.00%,1.90%,2.14%,0.03%,2,3392,2,3528,19,39735,1,47969,3,158,3,140,30,94922
670080,SETON MEDICAL CENTER HARKER HEIGHTS,850 W CENTRAL TEXAS EXPRESSWAY,HARKER HEIGHTS,TX,Bell,76548,(254) 953-8342,0.09%,0.00%,0.01%,0.00%,3.85%,0.00%,0.01%,2,2335,0,1498,1,12660,0,13851,1,26,0,34,4,30404
670078,BAPTIST EMERGENCY HOSPITAL,16088 SAN PEDRO,SAN ANTONIO,TX,Bexar,78232,(210) 402-4092,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.01%,0,29,0,34,0,4405,1,4405,0,0,0,0,1,8873
670077,HOUSTON METHODIST WEST HOSPITAL,18500 KATY FREEWAY,HOUSTON,TX,Harris,77094,(832) 522-1000,0.04%,0.06%,0.02%,0.01%,0.65%,0.67%,0.02%,4,10543,4,6616,8,43339,5,46234,2,308,1,150,24,107190
670076,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,3601 CALAIS DRIVE,SHERMAN,TX,Grayson,75090,(903) 813-3728,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,88,0,42,0,1652,0,1652,0,31,0,5,0,3470
670075,ST LUKE'S HOSPITAL AT THE VINTAGE,20171 CHASEWOOD PARK DRIVE,HOUSTON,TX,Harris,77070,(832) 534-5000,0.03%,0.03%,0.02%,0.00%,0.00%,2.50%,0.02%,1,2875,1,3883,4,18002,0,19955,0,30,1,40,7,44785
670073,METHODIST HOSPITAL FOR SURGERY,17101 DALLAS PARKWAY,ADDISON,TX,Dallas,75001,(469) 248-3900,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.01%,0,2862,0,796,0,6628,1,6628,0,0,0,0,1,16914
670071,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,811 WRIGHT STREET,ARLINGTON,TX,Tarrant,76012,(817) 960-3500,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.01%,0,1104,1,1720,0,6162,0,6162,0,0,0,0,1,15148
670069,METHODIST MCKINNEY HOSPITAL,8000 W ELDORADO PKWY BLDG C SUITE C,MCKINNEY,TX,Collin,75070,(214) 491-5710,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,589,0,0,0,1539,0,1539,0,1,0,1,0,3669
670068,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,4400 LONG PRAIRIE ROAD,FLOWER MOUND,TX,Denton,75028,(972) 419-1530,0.03%,0.00%,0.04%,0.00%,0.00%,0.00%,0.02%,1,3228,0,2301,9,20670,0,25224,0,345,0,106,10,51874
670067,BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPI,707 HIGHLANDER BLVD,ARLINGTON,TX,Tarrant,76015,(817) 549-2364,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,459,0,296,0,4363,0,4363,0,0,0,0,0,9481
670062,BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,26791 HIGHWAY 380,AUBREY,TX,Denton,76227,(972) 347-2525,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,32,0,64,0,1782,0,1782,0,0,0,0,0,3660
670061,SOUTH TEXAS SURGICAL HOSPITAL,6130 PARKWAY DRIVE,CORPUS CHRISTI,TX,Nueces,78414,(361) 993-2000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,280,0,72,0,2373,0,2373,0,6,0,43,0,5147
670060,BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,231 SOUTH COLLINS ROAD,SUNNYVALE,TX,Dallas,75182,(972) 892-3000,0.00%,0.00%,0.01%,0.01%,0.00%,1.67%,0.01%,0,4697,0,3513,1,19753,1,19753,0,27,1,60,3,47803
670059,CHI ST LUKES LAKESIDE HOSPITAL,17400 ST LUKES WAY,THE WOODLANDS,TX,Montgomery,77384,(936) 266-4055,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,637,0,115,0,1620,0,1620,0,0,0,0,0,3992
670056,ASCENSION  SETON HAYS,6001 KYLE PKWY,KYLE,TX,Hays,78640,(512) 324-5000,0.10%,0.00%,0.03%,0.00%,0.00%,0.00%,0.02%,4,4186,0,6795,12,41450,0,44241,0,49,0,79,16,96800
670055,METHODIST HOSPITAL  STONE OAK,"1139 E SONTERRA BLVD,",SAN ANTONIO,TX,Bexar,78258,(210) 638-2101,0.23%,0.08%,0.02%,0.00%,1.03%,3.50%,0.04%,15,6643,6,7494,15,62678,3,68227,4,387,9,257,52,145686
670054,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,9522 HUEBNER ROAD,SAN ANTONIO,TX,Bexar,78240,(210) 478-5400,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.02%,0,214,0,15,0,2546,0,2546,0,0,1,3,1,5324
